Date,Close
26 11 2019,603.8481445
27 11 2019,605.4346313
28 11 2019,599.2307739
29 11 2019,603.8007813
02 12 2019,599.4437256
03 12 2019,594.5421753
04 12 2019,592.7662964
05 12 2019,589.9009399
06 12 2019,590.1140747
09 12 2019,588.6460571
10 12 2019,591.7479858
11 12 2019,591.3927612
12 12 2019,598.4255981
13 12 2019,598.5440063
16 12 2019,595.4655762
17 12 2019,601.9775391
18 12 2019,612.0411987
19 12 2019,610.3599854
20 12 2019,614.1013184
23 12 2019,616.8007813
24 12 2019,610.5257568
26 12 2019,601.6696167
27 12 2019,603.8245239
30 12 2019,607.2105713
31 12 2019,602.4510498
01 01 2020,605.5292969
02 01 2020,609.3891602
03 01 2020,600.6987915
06 01 2020,587.6987305
07 01 2020,597.0048218
08 01 2020,595.4420166
09 01 2020,602.1196289
10 01 2020,607.4710083
13 01 2020,609.0338745
14 01 2020,610.6914673
15 01 2020,608.2051392
16 01 2020,609.8153687
17 01 2020,605.3162842
20 01 2020,594.3052979
21 01 2020,589.309021
22 01 2020,587.6514893
23 01 2020,589.5457153
24 01 2020,589.4037476
27 01 2020,574.5567627
28 01 2020,579.2925415
29 01 2020,585.2835083
30 01 2020,580.642334
31 01 2020,580.7607422
03 02 2020,564.8955688
04 02 2020,582.4182739
05 02 2020,589.4510498
06 02 2020,587.1542358
07 02 2020,588.2907715
10 02 2020,587.3910522
11 02 2020,587.53302
12 02 2020,591.5111084
13 02 2020,587.9119263
14 02 2020,577.4692993
17 02 2020,576.4273682
18 02 2020,574.5803833
19 02 2020,581.1870117
20 02 2020,576.4037476
24 02 2020,573.0175171
25 02 2020,568.4474487
26 02 2020,567.9502563
27 02 2020,568.0449219
28 02 2020,557.7207642
02 03 2020,558.6442261
03 03 2020,559.6861572
04 03 2020,544.0813599
05 03 2020,545.2653809
06 03 2020,537.4748535
09 03 2020,524.4038086
11 03 2020,527.4821167
12 03 2020,483.6752319
13 03 2020,506.6442566
16 03 2020,473.3510437
17 03 2020,461.7954712
18 03 2020,415.2891541
19 03 2020,424.1215515
20 03 2020,418.1069946
23 03 2020,365.396698
24 03 2020,363.5733643
25 03 2020,405.7463379
26 03 2020,426.7499695
27 03 2020,428.3365479
30 03 2020,393.859314
31 03 2020,408.1853638
01 04 2020,392.9121399
03 04 2020,385.4294128
07 04 2020,424.3820496
08 04 2020,420.972229
09 04 2020,438.0924072
13 04 2020,424.026825
15 04 2020,408.8483582
16 04 2020,416.6388855
17 04 2020,431.1069946
20 04 2020,447.4694519
21 04 2020,436.4822083
22 04 2020,439.7736206
23 04 2020,452.2527161
24 04 2020,444.249054
27 04 2020,440.2945862
28 04 2020,441.0997009
29 04 2020,462.7426453
30 04 2020,474.4402466
04 05 2020,437.1215515
05 05 2020,431.6516113
06 05 2020,448.2035217
07 05 2020,438.0687256
08 05 2020,439.9867554
11 05 2020,433.711731
12 05 2020,426.9630737
13 05 2020,439.3237305
14 05 2020,423.2453918
15 05 2020,420.6170349
18 05 2020,396.2272644
19 05 2020,393.3857422
20 05 2020,405.9121094
21 05 2020,407.0723877
22 05 2020,397.2691345
26 05 2020,403.6862793
27 05 2020,427.9576416
28 05 2020,447.658905
29 05 2020,450.6898804
01 06 2020,467.7390137
02 06 2020,474.0613708
03 06 2020,484.1251526
04 06 2020,474.3929138
05 06 2020,489.381958
08 06 2020,481.1178589
09 06 2020,467.5732422
10 06 2020,469.7280884
11 06 2020,458.7171326
12 06 2020,465.418457
15 06 2020,449.8373718
16 06 2020,469.0414124
17 06 2020,463.7608337
18 06 2020,483.0358887
19 06 2020,489.381958
22 06 2020,487.2034302
23 06 2020,493.6206055
24 06 2020,488.9794006
25 06 2020,487.2034302
26 06 2020,500.3217773
29 06 2020,509.604248
30 06 2020,504.7735901
01 07 2020,513.6532593
02 07 2020,515.9266357
03 07 2020,508.6095886
06 07 2020,522.3673096
07 07 2020,523.3856201
08 07 2020,525.8482056
09 07 2020,532.7626343
10 07 2020,523.3618164
13 07 2020,511.5932922
14 07 2020,501.4584351
15 07 2020,498.7590637
16 07 2020,503.2107544
17 07 2020,520.2125244
20 07 2020,536.5986938
21 07 2020,539.2033691
22 07 2020,533.4256592
23 07 2020,535.34375
24 07 2020,529.9920044
27 07 2020,511.2379456
28 07 2020,514.6242065
29 07 2020,504.1815796
30 07 2020,497.5750427
31 07 2020,489.1214905
03 08 2020,474.5349731
04 08 2020,493.3127747
05 08 2020,486.6351929
06 08 2020,492.8627625
07 08 2020,494.3546753
10 08 2020,497.5750427
11 08 2020,505.1524658
12 08 2020,503.7553711
13 08 2020,501.5532227
14 08 2020,489.9028931
17 08 2020,489.0978394
18 08 2020,500.3454895
19 08 2020,505.1287842
20 08 2020,501.5294495
21 08 2020,514.1506348
24 08 2020,529.0213013
25 08 2020,530.2762451
26 08 2020,529.6842651
27 08 2020,526.677002
28 08 2020,527.8135986
31 08 2020,528.4530029
01 09 2020,533.8755493
02 09 2020,537.1196289
03 09 2020,535.5803833
04 09 2020,530.086853
07 09 2020,525.9192505
08 09 2020,526.8427734
09 09 2020,519.2891235
10 09 2020,516.4711914
11 09 2020,510.8355103
14 09 2020,501.0322266
15 09 2020,506.975708
16 09 2020,517.9393311
17 09 2020,513.1796875
18 09 2020,500.7243958
21 09 2020,496.9356995
22 09 2020,490.3528442
23 09 2020,495.9649048
24 09 2020,487.9848938
25 09 2020,494.4256287
28 09 2020,499.2562561
29 09 2020,503.2107544
30 09 2020,510.8117981
01 10 2020,524.2380371
05 10 2020,527.7425537
06 10 2020,541.8317871
07 10 2020,550.4274292
08 10 2020,564.4219971
09 10 2020,584.1942749
12 10 2020,574.7698364
13 10 2020,567.5712891
14 10 2020,573.7516479
15 10 2020,553.7425537
16 10 2020,567.9975586
19 10 2020,569.9866943
20 10 2020,579.6478271
21 10 2020,590.421875
22 10 2020,584.0758057
23 10 2020,585.2598267
26 10 2020,573.4674072
27 10 2020,583.9810791
28 10 2020,572.8518066
29 10 2020,562.2433472
30 10 2020,560.5149536
02 11 2020,575.5276489
03 11 2020,591.013916
04 11 2020,595.4893188
05 11 2020,601.0776367
06 11 2020,619.2871704
09 11 2020,634.8681641
10 11 2020,660.015686
11 11 2020,658.2633667
12 11 2020,649.6204224
13 11 2020,643.5111694
14 11 2020,648.6731567
17 11 2020,667.0246582
18 11 2020,667.1431274
19 11 2020,650.8754272
20 11 2020,664.7515869
23 11 2020,660.4656372
24 11 2020,681.1139526
25 11 2020,664.348999
26 11 2020,675.644104
27 11 2020,682.3689575
01 12 2020,678.793396
02 12 2020,666.3143921
03 12 2020,652.2250977
04 12 2020,656.2033081
07 12 2020,649.8809204
08 12 2020,651.7988892
09 12 2020,666.4327393
10 12 2020,656.3215942
11 12 2020,654.8773193
14 12 2020,649.8335571
15 12 2020,658.90271
16 12 2020,668.090332
17 12 2020,682.8189697
18 12 2020,668.3981323
21 12 2020,650.0702515
22 12 2020,650.2834473
23 12 2020,651.4911499
24 12 2020,661.6494751
28 12 2020,669.1085815
29 12 2020,675.904541
30 12 2020,678.4146118
31 12 2020,680.2142334
01 01 2021,674.8863525
04 01 2021,670.6003418
05 01 2021,675.6677246
06 01 2021,672.755188
07 01 2021,670.71875
08 01 2021,678.012085
11 01 2021,687.3890381
12 01 2021,701.383606
13 01 2021,696.4819336
14 01 2021,695.5820923
15 01 2021,694.5875854
18 01 2021,702.3780518
19 01 2021,712.2050171
20 01 2021,706.5930176
21 01 2021,698.4473877
22 01 2021,683.647644
25 01 2021,692.7879639
27 01 2021,667.5693359
28 01 2021,649.5020752
29 01 2021,658.5239258
01 02 2021,699.3707275
02 02 2021,739.0574951
03 02 2021,745.8060913
04 02 2021,747.8424683
05 02 2021,756.6040039
08 02 2021,760.2269287
09 02 2021,763.352478
10 02 2021,749.0975342
11 02 2021,744.645813
12 02 2021,749.1922607
15 02 2021,765.6019897
16 02 2021,770.3616943
17 02 2021,751.3470459
18 02 2021,736.0976563
19 02 2021,728.8989868
22 02 2021,733.1139526
23 02 2021,724.1868286
24 02 2021,760.795105
25 02 2021,760.7714844
26 02 2021,726.6730957
01 03 2021,738.276062
02 03 2021,742.6803589
03 03 2021,751.5128174
04 03 2021,735.0319824
05 03 2021,724.5893555
08 03 2021,719.6166382
09 03 2021,739.9810181
10 03 2021,736.7842407
12 03 2021,734.9845581
15 03 2021,723.9499512
16 03 2021,716.1358643
17 03 2021,708.1795654
18 03 2021,706.1194458
19 03 2021,709.1977539
22 03 2021,695.7715454
23 03 2021,710.4527588
24 03 2021,700.3416748
25 03 2021,693.0246582
26 03 2021,706.2615356
